o0,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,y
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,32.399999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,130.0
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,27.100000000000001
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,125.19999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,128.19999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,127.09999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,27.199999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,26.100000000000001
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,25.199999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,128.30000000000001
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,122.09999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,125.0
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,129.39999999999998
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,131.30000000000001
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,32.299999999999997
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,153.29999999999998
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,30.100000000000001
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,129.09999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,51.5
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,49.299999999999997
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,25.199999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,127.0
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,53.5
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,127.39999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,26.199999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,132.39999999999998
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,30.300000000000001
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,129.19999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,154.39999999999998
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,153.5
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,27.199999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,46.200000000000003
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,150.5
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,32.399999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,23.0
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,23.100000000000001
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,31.300000000000001
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,22.199999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,126.09999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,129.19999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,30.300000000000001
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,152.29999999999998
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,127.09999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,25.199999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,24.100000000000001
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,26.199999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,146.30000000000001
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,128.30000000000001
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,125.09999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,129.30000000000001
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,27.399999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,27.300000000000001
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,25.199999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,125.19999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,28.199999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,133.30000000000001
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,27.199999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,128.09999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,52.399999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,152.29999999999998
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,53.399999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,31.300000000000001
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,29.399999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,123.09999999999999
1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,26.199999999999999
